meta,Constituency name,Lab 2001,Con 2001,LD 2001,SNP 2001,PC 2001,2001 winner,2001 votes,2001 turnout,Lab 2005,Con 2005,LD 2005,SNP 2005,PC 2005,2005 winner,2005 votes,2005 turnout
530,Aberavon,19063,2296,2933,,2955,0,30190,60.8,18077,3064,4114,,3545,0,30078,58.9
588,Aberdeen Central,12025,3761,4547,5379,,0,26429,52.8,,,,,,,,
660,Aberdeen North,,,,,,,,,15557,3456,8762,8168,,0,36634,55.7
589,Aberdeen North,13157,3047,4991,8708,,0,30357,57.6,,,,,,,,
661,Aberdeen South,,,,,,,,,15272,7134,13924,4120,,0,41621,62.1
590,Aberdeen South,14696,7098,10308,4293,,0,36890,62.6,,,,,,,,
662,Airdrie & Shotts,,,,,,,,,19568,3271,3792,5484,,0,33158,53.5
591,Airdrie & Shotts,18472,1960,2376,6138,,0,31730,54.4,,,,,,,,
1,Aldershot,11394,19106,12542,,,1,45318,57.9,9895,20572,15238,,,1,48141,61.3
2,Aldridge-Brownhills,15206,18974,3251,,,1,37810,60.6,13237,18744,4862,,,1,39556,64
3,Altrincham & Sale West,17172,20113,6283,,,1,43568,60.7,13410,20569,9595,,,1,44310,65.9
531,Alyn & Deeside,18525,9303,4585,,1182,0,35421,58.6,17331,8953,6174,,1320,0,35496,60.2
4,Amber Valley,23101,15874,5538,,,0,44513,60.3,21593,16318,6225,,,0,47391,62.9
663,Angus,,,,,,,,,6850,11239,6660,12840,,3,38145,60.5
592,Angus,8183,8736,5015,12347,,3,35013,59.3,,,,,,,,
664,Argyll & Bute,,,,,,,,,9696,10150,15786,6716,,2,43229,64.2
593,Argyll & Bute,7592,6436,9245,6433,,2,30957,63,,,,,,,,
5,Arundel & South Downs,9488,23969,10265,,,1,45889,64.7,8482,24752,13443,,,1,49690,68.5
6,Ashfield,22875,9607,4428,,,0,39350,53.6,20433,10220,5829,,,0,42051,57.3
7,Ashford,15380,22739,7236,,,1,47937,62.5,13353,26651,8308,,,1,51685,65
8,Ashton under Lyne,22340,6822,4237,,,0,35764,49.1,21211,7259,5108,,,0,36967,51.3
9,Aylesbury,11388,23230,13221,,,1,49087,61.4,9540,25254,14187,,,1,51460,62.4
594,Ayr,16801,14256,2089,4621,,0,38560,69.3,,,,,,,,
665,Ayr Carrick & Cumnock,,,,,,,,,20433,10436,6341,5932,,0,45048,61.3
10,Banbury,18052,23271,8216,,,1,51515,61.8,15585,26382,10076,,,1,56209,64.5
666,Banff & Buchan,,,,,,,,,4476,7207,4952,19044,,3,37216,56.8
595,Banff & Buchan,4363,6207,2769,16710,,3,30806,54.5,,,,,,,,
11,Barking,15302,5768,2450,,,0,25126,45.5,13826,4943,3411,,,0,29106,50.5
12,Barnsley Central,19181,3608,4051,,,0,27543,45.8,17478,3813,4746,,,0,28615,47.2
13,Barnsley East & Mexborough,21945,4024,5156,,,0,32509,49.5,20779,4853,6654,,,0,33026,49.3
14,Barnsley West & Penistone,20244,7892,6428,,,0,34564,52.9,20372,9058,7422,,,0,36852,55
15,Barrow & Furness,21724,11835,4750,,,0,39020,60.3,17360,11323,6130,,,0,36493,59
16,Basildon,21551,13813,3691,,,0,40875,55.1,18720,15578,4473,,,0,43141,58.4
17,Basingstoke,19610,20490,6693,,,1,47995,60.7,15275,19955,9952,,,1,48123,63
18,Bassetlaw,21506,11758,4942,,,0,38895,56.9,22847,12010,5485,,,0,40342,58.1
19,Bath,7269,13478,23372,,,2,46296,64.9,6773,15463,20101,,,2,45836,68.6
20,Batley & Spen,19224,14160,3989,,,0,38542,60.5,17974,12186,5731,,,0,39208,62.3
21,Battersea,18498,13445,4450,,,0,36804,54.5,16569,16406,6006,,,0,41049,59
22,Beaconsfield,9168,22233,9117,,,1,42144,61.6,8422,24126,8873,,,1,43523,63.9
23,Beckenham,15659,20618,7308,,,1,45562,63.1,13782,22183,10862,,,1,48964,65.5
24,Bedford,19454,13297,6425,,,0,40579,59.9,17557,14174,9063,,,0,42072,59.6
25,Bedfordshire North East,14009,22586,7409,,,1,45246,65.1,12474,24725,10320,,,1,49505,68
26,Bedfordshire South West,17701,18477,6473,,,1,43854,60.8,13837,22114,7723,,,1,45814,61.8
667,Berwickshire Roxburgh & Selkirk,,,,,,,,,7206,13092,18993,3885,,2,45388,63.3
27,Berwick-upon-Tweed,6435,10193,18651,,,2,36308,63.8,6618,10420,19052,,,2,36090,63.4
28,Bethnal Green & Bow,19380,9323,5946,,,0,38470,48.6,14978,6244,4928,,,7,44007,51.2
29,Beverley & Holderness,18387,19168,7356,,,1,46375,61.7,17854,20434,9578,,,1,50202,64.8
30,Bexhill & Battle,8702,21555,11052,,,1,44783,64.9,8457,24629,11180,,,1,46834,67.2
31,Bexleyheath & Crayford,17593,16121,4476,,,0,40378,63.5,15171,19722,5144,,,1,42584,65.5
32,Billericay,16595,21608,6323,,,1,45598,58.1,14281,25487,6471,,,1,48858,61.4
